p,q,total_time
7,17,0.026457
7,17,0.027374
7,17,0.027110
7,17,0.027142
7,17,0.027838
8,17,0.030489
8,17,0.029708
8,17,0.028840
8,17,0.028654
8,17,0.029017
1,18,0.055486
1,18,0.052435
1,18,0.051690
1,18,0.051494
1,18,0.052457
2,18,0.054895
2,18,0.053103
2,18,0.054686
2,18,0.054477
2,18,0.054634
3,18,0.053862
3,18,0.056643
3,18,0.056427
3,18,0.057904
3,18,0.057840
4,18,0.051288
4,18,0.051212
4,18,0.050821
4,18,0.051057
4,18,0.051249
5,18,0.051489
5,18,0.051271
5,18,0.051675
5,18,0.051589
5,18,0.051285
6,18,0.051679
6,18,0.052345
6,18,0.052217
6,18,0.052241
6,18,0.051934
7,18,0.053489
7,18,0.052915
7,18,0.053579
7,18,0.053639
7,18,0.054887
8,18,0.057146
8,18,0.055918
8,18,0.057417
8,18,0.055971
8,18,0.056377
1,19,0.109829
1,19,0.113193
1,19,0.108895
1,19,0.112744
1,19,0.110618
2,19,0.111366
2,19,0.112940
2,19,0.113468
2,19,0.110734
2,19,0.112973
3,19,0.112953
3,19,0.113676
3,19,0.111876
3,19,0.112891
3,19,0.111738
4,19,0.108708
4,19,0.108697
4,19,0.108317
4,19,0.108675
4,19,0.108283
5,19,0.108241
5,19,0.108489
5,19,0.108512
5,19,0.108479
5,19,0.108856
6,19,0.109811
6,19,0.109222
6,19,0.109448
6,19,0.109060
6,19,0.109134
7,19,0.109931
7,19,0.109819
7,19,0.111063
7,19,0.110129
7,19,0.110705
8,19,0.112197
8,19,0.116459
8,19,0.113291
8,19,0.116050
8,19,0.113679
1,20,0.224128
1,20,0.225769
1,20,0.224598
1,20,0.224854
1,20,0.224307
2,20,0.224963
2,20,0.226368
2,20,0.231128
2,20,0.226215
2,20,0.232093
3,20,0.229361
3,20,0.232077
3,20,0.230745
3,20,0.232513
3,20,0.229336
4,20,0.224460
4,20,0.224550
4,20,0.224762
4,20,0.224417
4,20,0.224222
5,20,0.223881
5,20,0.224464
5,20,0.224380
5,20,0.224987
5,20,0.224185
6,20,0.224981
6,20,0.226156
6,20,0.225701
6,20,0.224771
6,20,0.225425
7,20,0.227183
7,20,0.227128
7,20,0.226047
7,20,0.226836
7,20,0.226774
8,20,0.232754
8,20,0.229061
8,20,0.228586
8,20,0.229260
8,20,0.232459
1,21,0.470660
1,21,0.469582
1,21,0.471294
1,21,0.470950
1,21,0.470007
2,21,0.472524
2,21,0.474710
2,21,0.470346
2,21,0.484759
2,21,0.470332
3,21,0.475381
3,21,0.478395
3,21,0.474484
3,21,0.484513
3,21,0.476377
4,21,0.471180
4,21,0.471249
4,21,0.472610
4,21,0.470261
4,21,0.470829
5,21,0.471172
5,21,0.470082
5,21,0.469607
5,21,0.469768
5,21,0.470553
6,21,0.471038
6,21,0.471077
6,21,0.471269
6,21,0.471481
6,21,0.471870
7,21,0.472361
7,21,0.472164
7,21,0.473558
7,21,0.472399
7,21,0.472424
8,21,0.475089
8,21,0.478599
8,21,0.476214
8,21,0.475690
8,21,0.474427
1,22,1.003069
1,22,1.003107
1,22,1.004181
1,22,1.003523
1,22,1.004428
2,22,1.007114
2,22,1.013834
2,22,1.007060
2,22,1.006025
2,22,1.015889
3,22,1.010380
3,22,1.012039
3,22,1.008185
3,22,1.011296
3,22,1.011257
4,22,1.008541
4,22,1.004920
4,22,1.003588
4,22,1.006305
4,22,1.004347
5,22,1.005212
5,22,1.001876
5,22,1.006635
5,22,1.003694
5,22,1.003593
6,22,1.003828
6,22,1.005003
6,22,1.006926
6,22,1.005143
6,22,1.004717
7,22,1.004154
7,22,1.007081
7,22,1.009177
7,22,1.006877
7,22,1.003779
8,22,1.009443
8,22,1.015583
8,22,1.012580
8,22,1.007640
8,22,1.010706
1,23,2.334866
1,23,2.334183
1,23,2.344363
1,23,2.335919
1,23,2.334413
2,23,2.332187
2,23,2.346291
2,23,2.332987
2,23,2.337093
2,23,2.346080
3,23,2.353339
3,23,2.345523
3,23,2.339528
3,23,2.344541
3,23,2.350010
4,23,2.335634
4,23,2.344596
4,23,2.340036
4,23,2.337907
4,23,2.339715
5,23,2.334772
5,23,2.333756
5,23,2.341578
5,23,2.335129
5,23,2.340456
6,23,2.339032
6,23,2.335197
6,23,2.338410
6,23,2.334699
6,23,2.347380
7,23,2.340272
7,23,2.337355
7,23,2.336246
7,23,2.340504
7,23,2.337278
8,23,2.337990
8,23,2.346652
8,23,2.345015
8,23,2.347873
8,23,2.345396
1,24,5.354467
1,24,5.347663
1,24,5.365545
1,24,5.365781
1,24,5.353261
2,24,5.367598
2,24,5.352043
2,24,5.370982
2,24,5.355741
2,24,5.380635
3,24,5.355051
3,24,5.374611
3,24,5.370529
3,24,5.384586
3,24,5.360010
4,24,5.365301
4,24,5.366554
4,24,5.365740
4,24,5.384895
4,24,5.364465
5,24,5.353876
5,24,5.349389
5,24,5.368797
5,24,5.354896
5,24,5.366342
6,24,5.362921
6,24,5.377930
6,24,5.379125
